name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
PL2/462 (Adwufia),,-2.977241035878889,6.547725763606823,-3.0375,6.4708333333,-2.9416666667,6.6333333333
PL-GH/317,,-2.1156111111031155,5.106666666638201,-2.15,5.0833333333,-2.0833333333,5.1333333333
PL2/614,,-2.9143895349055327,6.570465116262768,-2.9541666667,6.4958333333,-2.875,6.6333333333
PL10/33,,-2.239364393336525,9.374894958205877,-2.266825,9.30006388888889,-2.195911111111111,9.43356111111111
PL10/28,,-2.237467935802839,9.478754698041989,-2.2834777777777777,9.433486111111112,-2.1875555555555555,9.533586111111111
RL2/69,,-2.1719994758942045,5.0641116352148074,-2.2083333333,5.0333333333,-2.1208333333,5.0916666667
PL6/322,,-2.0155657181520663,6.782605013548084,-2.0541666667,6.75,-2.0,6.8291666667
RL6/91,,-1.2326927217869563,6.161708656265656,-1.2791666667,6.0833333333,-1.2041666667,6.25
PL5/3 (Kenbert Ntronang),,-1.0940913021012466,6.322849962495861,-1.1208305555555556,6.303847222222222,-1.075,6.349675
PL5/266,,-0.8734907407256453,6.561861111151588,-0.9,6.5,-0.8333333333,6.6166666667
PL2/398,,-2.829131853195418,6.303164827231169,-2.883627777777778,6.25005,-2.7644888888888888,6.366655555555556
PL2/400,,-2.9147539178764723,6.288700994958086,-2.9820305555555557,6.200144444444445,-2.822322222222222,6.391391666666666
PL2/310,,-2.031991394787356,5.83218947125807,-2.0625138888888888,5.804116666666666,-1.9999833333333332,5.874919444444444
RL2/93,,-1.676007459764232,5.4168826912323444,-1.7123583333333334,5.380444444444445,-1.6330666666666667,5.465747222222222
PL2/155,,-1.8533905229087848,5.130433006527721,-1.8666666667,5.1125,-1.8416666667,5.1541666667
RL6/62,,-1.90736323159922,6.050811068702091,-1.9666666667,6.0208333333,-1.8291666667,6.0916666667
RL3/29,,-1.9738758992794325,5.958528177462123,-2.0166666667,5.925,-1.9333333333,6.0
PL6/62,,-1.9015240878583628,6.381164599689973,-1.9166916666666667,6.358813888888889,-1.8834444444444445,6.399616666666667
PL6/87,,-1.617820651973643,6.30280007168223,-1.6332805555555556,6.270933333333334,-1.5999222222222222,6.333538888888889
RL6/124,,-1.2919379491632312,6.300886820779316,-1.3501527777777778,6.270991666666666,-1.2500444444444445,6.325136111111111
PL2/385,,-2.111489273933413,5.206373762371276,-2.125,5.1708333333,-2.0833333333,5.25
PL6/26,,-1.2881042166365455,6.21338322507953,-1.3243,6.190675,-1.2500361111111111,6.240166666666667
PL2/420,,-2.068981481482531,5.020925925931458,-2.0875,5.0,-2.05,5.0458333333
PL2/321,,-1.9994496855334107,5.052672955952073,-2.0291666667,5.025,-1.9833333333,5.0833333333
PLGH/453,,-1.9688568376035498,5.049341168099758,-1.9833333333,5.0125,-1.9541666667,5.0875
PL5/134,,-0.8556608338622398,6.42915771130282,-0.8833305555555555,6.399672222222223,-0.8333305555555556,6.458
PL2/399 (Akoko A),,-2.1343749999915174,5.054538690514573,-2.1625,5.0416666667,-2.1166666667,5.0791666667
RL5/36,,-1.028776041614551,6.424609375006739,-1.0458333333,6.4166666667,-1.0083333333,6.4333333333
PL6/152,,-1.029999999986,6.442083333317999,-1.0458333333,6.4333333333,-1.0125,6.45
